id,camera_id
1621,584
1622,585
1623,585
1624,585
1625,586
1626,586
1627,586
1628,587
1629,587
1630,587
1631,588
1632,588
1633,588
1634,589
1635,589
1636,589
1637,590
1638,590
1639,590
1640,591
1641,592
1642,592
1643,592
1644,593
1645,593
1646,593
1647,594
1648,594
1649,594
1650,595
1651,595
1652,595
1653,596
1654,596
1655,596
1656,597
1657,597
1658,597
1659,598
1660,598
1661,599
1662,599
1663,600
1664,600
1665,601
1666,601
1667,601
1668,602
1669,602
1670,602
1671,603
1672,603
1673,603
1674,604
1675,604
1676,604
1677,605
1678,605
1679,605
1680,606
1681,606
1682,606
1683,607
1684,607
1685,607
1686,608
1687,608
1688,608
1689,609
1690,609
1691,609
1692,610
1693,610
1694,610
1695,611
1696,611
1697,612
1698,612
1699,613
1700,613
1701,613
1702,614
1703,614
1704,614
1705,615
1706,615
1707,615
1708,616
1709,616
1710,616
1711,617
1712,617
1713,617
1714,618
1715,618
1716,618
1717,619
1718,619
1719,619
1720,620
1721,620
1722,620
1723,621
1724,621
1725,621
1726,622
1727,622
1728,622
1729,623
1730,623
1731,623
1732,624
1733,624
1734,624
1735,625
1736,625
1737,625
1738,626
1739,626
1740,626
1741,627
1742,627
1743,627
1744,628
1745,628
1746,628
1747,629
1748,629
1749,630
1750,630
1751,630
1752,631
1753,631
1754,631
1755,632
1756,632
1757,632
1758,633
1759,633
1760,633
1761,634
1762,634
1763,634
1764,635
1765,635
1766,635
1767,635
1768,636
1769,636
1770,636
1771,637
1772,637
1773,637
1774,638
1775,638
1776,638
1777,639
1778,639
1779,639
1780,640
1781,640
1782,640
1783,641
1784,641
1785,641
1786,642
1787,642
1788,642
1789,643
1790,643
1791,644
1792,644
1793,645
1794,645
1795,645
1796,646
1797,646
1798,646
1799,647
1800,647
1801,647
1802,648
1803,648
1804,648
1805,649
1806,649
1807,649
1808,650
1809,650
1810,650
1811,651
1812,651
1813,651
1814,652
1815,652
1816,652
1817,653
1818,653
1819,653
1820,654
1821,654
1822,654
1823,655
1824,655
1825,656
1826,656
1827,656
1828,657
1829,657
1830,657
1831,658
1832,658
1833,658
1834,659
1835,659
1836,659
1837,660
1838,660
1839,660
1840,661
1841,661
1842,661
1843,662
1844,662
1845,663
1846,663
1847,664
1848,664
1849,664
1850,665
1851,665
1852,665
1853,666
1854,666
1855,666
1856,667
1857,667
1858,667
1859,668
1860,668
1861,668
1862,669
1863,669
1864,669
1865,670
1866,670
1867,670
1868,671
1869,671
1870,671
1871,672
1872,672
1873,672
1874,673
1875,673
1876,673
1877,674
1878,674
1879,675
1880,675
1881,676
1882,676
1883,676
1884,677
1885,677
1886,677
1887,678
1888,678
1889,678
1890,679
1891,679
1892,679
1893,680
1894,680
1895,680
1896,681
1897,681
1898,681
1899,682
1900,682
1901,682
1902,683
1903,683
1904,684
1905,684
1906,684
1907,685
1908,685
1909,685
1910,686
1911,686
1912,686
1913,687
1914,687
1915,687
1916,688
1917,688
1918,688
1919,689
1920,689
1921,689
1922,690
1923,690
1924,690
1925,691
1926,691
1927,691
1928,692
1929,692
1930,693
1931,693
1932,694
1933,694
1934,695
1935,695
1936,695
1937,696
1938,696
1939,696
1940,697
1941,697
1942,697
1943,698
1944,698
1945,698
1946,699
1947,699
1948,699
1949,700
1950,700
1951,700
1952,701
1953,701
1954,701
1955,702
1956,702
1957,702
1958,703
1959,703
1960,703
1961,704
1962,704
1963,704
1964,705
1965,705
1966,706
1967,706
1968,707
1969,707
1970,707
1971,708
1972,708
1973,708
1974,709
1975,709
1976,709
1977,710
1978,710
1979,710
1980,711
1981,711
1982,711
1983,712
1984,712
1985,712
1986,713
1987,713
1988,713
1989,714
1990,714
1991,714
1992,715
1993,715
1994,715
1995,716
1996,716
1997,716
1998,717
1999,717
2000,717
2001,718
2002,718
2003,718
2004,719
2005,719
2006,719
2007,720
2008,720
2009,720
2010,721
2011,721
2012,721
2013,722
2014,722
2015,722
2016,723
2017,723
2018,723
2019,724
2020,724
2021,724
2022,725
2023,725
2024,725
2025,726
2026,726
2027,726
2028,727
2029,727
2030,728
2031,728
2032,728
2033,729
2034,729
2035,729
2036,730
2037,730
2038,730
2039,731
2040,731
2041,731
2042,732
2043,732
2044,732
2045,733
2046,733
2047,733
2048,734
2049,734
2050,734
2051,735
2052,735
2053,735
2054,736
2055,736
2056,736
2057,737
2058,737
2059,737
2060,738
2061,738
2062,738
2063,739
2064,739
2065,739
2066,740
